"step","code_change","game_path","pass_criteria","regression_to_watch"
"2a","Drop classicAbilityEditor setting + 4 read sites","Compendium > Abilities > pick any > Edit","New sectioned editor opens, all sections expand, save works, re-open shows persisted edits","'Use classic ability editor' no longer in preferences"
"2a","(same)","Compendium > Class > expand a level > expand a feature > Edit","Themed feature editor opens (framed panel chrome)","Cohesive look; no plain white flash"
"2a","(same)","Compendium > Class > Edit","Class editor frame is themed","No visual regression vs default-settings baseline"
"2a","Drop classicTriggeredAbilityEditor setting + the user-opt-out branch","Compendium > Triggered Abilities > pick any > Edit","New sectioned Triggered Ability editor opens with all four nav tabs","'Use classic triggered ability editor' no longer in preferences"
"2b","Refactor Aura to inline trimmed editor; delete classic TAE branch in NewTriggeredAbilityEditor.lua","Open a creature with a triggered-aura monster (e.g. anything with an emanating effect) > click the aura > trigger behavior editor renders inline","Behavior list + edit fields render inline within Aura panel (no full-screen modal); save propagates","Trigger condition / appearance / activation-saving-throw fields stay HIDDEN (those exclusions matter)"
"2b","Wrap classic TriggeredAbilityEditor.lua body","(no UI change; verification is grep)","Grep -r 'TriggeredAbility:GenerateEditor' returns only the new editor + Aura's new inline path","Title-screen load logs no errors"
"2c","Wrap classic ActivatedAbilityEditor.lua body","Compendium > Abilities > Edit","Still opens new editor (same as 2a verify)","Title-screen load logs no errors"
"2d.1","AbilityEditorBehaviorPicker -> GetStyles","Compendium > Abilities > Edit > click '+ Add Behavior'","Behavior picker dialog opens with framed dark panel + accent border","Search input + behavior tiles render at correct sizes"
"2d.2","AbilityEditorModifierPicker -> GetStyles","Compendium > Abilities > Edit > in a behavior, click 'Add Modifier'","Modifier picker dialog identical look to before","(same risks as 2d.1)"
"2d.3","AbilityEditorTemplates -> GetStyles","Compendium > Abilities > New Ability (or Templates picker)","Templates dialog identical",""
"2d.4","NewTriggeredAbilityEditor -> GetStyles","Compendium > Triggered Abilities > Edit (and aura inline path from 2b)","Both renderings still work","Performance: open/close 10x should feel snappy"
"2d.5","AbilityEditor -> GetStyles","Compendium > Abilities > Edit","Sectioned editor identical look + behavior; nested editor (recast_new ability) inherits theme","No flicker on open; no missing button styles"
"final","All steps merged","Settings panel","Both classic*Editor toggles absent","Performance smoke: open/close editors 10x — snappier than baseline"
